"code","causeid","short_desc","long_desc","major","three_digit"
"C788","none","T.M. IIRE. DES ORG. DIG., NCA OU SAI","Tumeur maligne secondaire des organes digestifs, autres et non précisés","Tumeur maligne secondaire des organes respiratoires et digestifs","C78"
"C792","none","T.M. IIRE. DE LA PEAU","Tumeur maligne secondaire de la peau","Tumeur maligne secondaire de sièges autres et non précisés","C79"
"C793","none","T.M. IIRE. DU CERVEAU ET DES MENINGES CEREB.","Tumeur maligne secondaire du cerveau et des méninges cérébrales","Tumeur maligne secondaire de sièges autres et non précisés","C79"
"C794","none","T.M. IIRE. DE PARTIES DU SYST. NERV., NCA OU SAI","Tumeur maligne secondaire de parties du système nerveux, autres et non précisées","Tumeur maligne secondaire de sièges autres et non précisés","C79"
"C795","none","T.M. IIRE. DES OS ET DE LA MOELLE OSSEUSE","Tumeur maligne secondaire des os et de la moelle osseuse","Tumeur maligne secondaire de sièges autres et non précisés","C79"
"C798","none","T.M. IIRE. D'AUTRES SIEGES PREC.","Tumeur maligne secondaire d'autres sièges précisés","Tumeur maligne secondaire de sièges autres et non précisés","C79"
"C80","none","T.M. DE SIEGE SAI","Tumeur maligne de siège non précisé","Tumeur maligne de siège non précisé","C80"
"C800","none","T.M. DE SIEGE PRIMITIF NON PREC., AINSI DECRIT","Tumeur maligne de siège primitif non précisé, ainsi décrit","Tumeur maligne de siège non précisé","C80"
"C809","none","T.M. DE SIÈGE PRIMITIF SAI","Tumeur maligne de siège primitif non précisé","Tumeur maligne de siège non précisé","C80"
"C819","neo","LYMPHOME DE HODGKIN, SAI","Lymphome de Hodgkin, sans précision","Lymphome de Hodgkin","C81"
"C820","none","LYMPHOME FOLLICULAIRE, GRADE I","Lymphome folliculaire, grade I","Lymphome folliculaire","C82"
"C821","neo","LYMPHOME FOLLICULAIRE, GRADE II","Lymphome folliculaire, grade II","Lymphome folliculaire","C82"
"C827","neo","LYMPHOME FOLLICULAIRE, NCA","Autres formes de lymphome, folliculaire","Lymphome folliculaire","C82"
"C829","neo","LYMPHOME FOLLICULAIRE, SAI","Lymphome folliculaire, sans précision","Lymphome folliculaire","C82"
"C830","none","LYMPHOME A PT. CELL. B","Lymphome à petites cellules B","Lymphome non folliculaire","C83"
"C831","neo","LYMPHOME A CELL. DU MANTEAU","Lymphome à cellules du manteau","Lymphome non folliculaire","C83"
"C833","neo","LYMPHOME A GD. CELL. B","Lymphome diffus à grandes cellules B","Lymphome non folliculaire","C83"
"C834","neo","*** SU11 *** LYMPHOME IMMUNOBLASTIQUE","*** SU11 *** Lymphome immunoblastique (diffus)","Lymphome non folliculaire","C83"
"C835","neo","LYMPHOME LYMPHOBLASTIQUE","Lymphome lymphoblastique","Lymphome non folliculaire","C83"
"C837","neo","LYMPHOME DE BURKITT","Lymphome de Burkitt","Lymphome non folliculaire","C83"
"C838","neo","LYMPHOME NON FOLLICULAIRE, NCA","Autres lymphomes non folliculaires","Lymphome non folliculaire","C83"
"C839","neo","LYMPHOME NON FOLLICULAIRE, SAI","Lymphome (diffus) non folliculaire, sans précision","Lymphome non folliculaire","C83"
"C840","none","MYCOSIS FONGOIDE","Mycosis fongoïde","Lymphomes à cellules T/NK matures","C84"
"C844","neo","LYMPHOME PERIPHERIQUE A CELL. T, NCA","Lymphome périphérique à cellules T, non classé ailleurs","Lymphomes à cellules T/NK matures","C84"
"C845","neo","AUTRES LYMPHOMES A CELL. T/NK MATURES","Autres lymphomes à cellules T/NK matures","Lymphomes à cellules T/NK matures","C84"
"C850","none","*** SU11 *** LYMPHOSARCOME","*** SU11 *** Lymphosarcome","Lymphome non hodgkinien, de types autres et non précisés","C85"
"C851","neo","LYMPHOMES A CELL. B, SAI","Lymphomes à cellules B, sans précision","Lymphome non hodgkinien, de types autres et non précisés","C85"
"C852","neo","LYMPHOME MEDIASTINAL A GD. CELL. B, SAI","Lymphome médiastinal (thymique) à grandes cellules B","Lymphome non hodgkinien, de types autres et non précisés","C85"
"C857","neo","TYPES PREC. DE LYMPHOME NON HODGKINIEN, NCA","Autres types précisés de lymphome non hodgkinien","Lymphome non hodgkinien, de types autres et non précisés","C85"
"C859","neo","LYMPHOME NON HODGKINIEN, SAI","Lymphome non hodgkinien, non précisé","Lymphome non hodgkinien, de types autres et non précisés","C85"
"C880","none","MACROGLOBULINEMIE DE WALDENSTROM","Macroglobulinémie de Waldenström","Maladies immunoprolifératives malignes","C88"
"C882","neo","MAL. D'AUTRES CHAINES LOURDES","Maladie d'autres chaines lourdes","Maladies immunoprolifératives malignes","C88"
"C900","none","MYELOME MULT.","Myélome multiple","Myélome multiple et tumeurs malignes à plasmocytes","C90"
"C901","neo","LEUCEMIE A PLASMOCYTES","Leucémie à plasmocytes","Myélome multiple et tumeurs malignes à plasmocytes","C90"
"C902","neo","PLASMOCYTOME EXTRA-MEDULLAIRE","Plasmocytome extra-médullaire","Myélome multiple et tumeurs malignes à plasmocytes","C90"
"C910","none","LEUCEMIE LYMPHOBLASTIQUE AIG.","Leucémie lymphoblastique aigüe [LLA]","Leucémie lymphoïde","C91"
"C911","neo","LEUCEMIE LYMPHOIDE CHRON. A CELL. B","Leucémie lymphoïde chronique à cellules B","Leucémie lymphoïde","C91"
"C913","neo","LEUCEMIE A PROLYMPHOCYTES A CELL. B","Leucémie à prolymphocytes à cellules B","Leucémie lymphoïde","C91"
"C914","neo","LEUCEMIE A TRICHOLEUCOCYTES","Leucémie à tricholeucocytes","Leucémie lymphoïde","C91"
"C915","neo","LYMPHOME/LEUCEMIE DE L'ADULTE A CELL. T","Lymphome/leucémie de l'adulte à cellules T (associé(e) à HTLV-1)","Leucémie lymphoïde","C91"
"C917","neo","LEUCEMIES LYMPHOIDES, NCA","Autres leucémies lymphoïdes","Leucémie lymphoïde","C91"
"C919","neo","LEUCEMIE LYMPHOIDE, SAI","Leucémie lymphoïde, sans précision","Leucémie lymphoïde","C91"
"C920","none","LEUCEMIE MYELOBLASTIQUE AIG.","Leucémie myéloblastique aigüe [LAM]","Leucémie myéloïde","C92"
"C921","neo","LEUCEMIE MYELOIDE CHRON. ABL-BCR+","Leucémie myéloïde chronique [LMC] ABL-BCR positif","Leucémie myéloïde","C92"
"C922","neo","LEUCEMIE MYELOIDE CHRON. ATYPIQUE ABL-BCR-","Leucémie myéloïde chronique atypique, ABL-BCR négatif","Leucémie myéloïde","C92"
"C923","neo","SARCOME MYELOIDE","Sarcome myéloïde","Leucémie myéloïde","C92"
"C924","neo","LEUCEMIE PROMYELOCYTAIRE AIG.","Leucémie promyélocytaire aigüe [PML]","Leucémie myéloïde","C92"
"C925","neo","LEUCEMIE MYELOMONOCYTAIRE AIG.","Leucémie myélomonocytaire aiguë","Leucémie myéloïde","C92"
"C927","neo","LEUCEMIES MYELOIDES, NCA","Autres leucémies myéloïdes","Leucémie myéloïde","C92"
"C929","neo","LEUCEMIE MYELOIDE, SAI","Leucémie myéloïde, sans précision","Leucémie myéloïde","C92"
"C930","none","LEUCEMIE MONOBLASTIQUE/MONOCYTAIRE AIG.","Leucémie monoblastique/monocytaire aigüe","Leucémie monocytaire","C93"
"C931","neo","LEUCEMIE MYELOMONOCYTAIRE CHRON.","Leucémie myélomonocytaire chronique","Leucémie monocytaire","C93"
"C939","neo","LEUCEMIE MONOCYTAIRE, SAI","Leucémie monocytaire, sans précision","Leucémie monocytaire","C93"
"C940","none","LEUCEMIE ERYTHROIDE AIG.","Leucémie érythroïde aigüe","Autres leucémies à cellules précisées","C94"
"C944","neo","PANMYELOSE AIG. AVEC MYELOFIBROSE","Panmyélose aigüe avec myélofibrose","Autres leucémies à cellules précisées","C94"
"C945","neo","*** SU11 *** MYELOFIBROSE AIG.","*** SU11 *** Myélofibrose aiguë","Autres leucémies à cellules précisées","C94"
"C947","neo","LEUCEMIES PREC., NCA","Autres leucémies précisées","Autres leucémies à cellules précisées","C94"
"C950","none","LEUCEMIE AIG. A CELL. SAI","Leucémie aiguë à cellules non précisées","Leucémie à cellules non précisées","C95"
"C951","neo","LEUCEMIE CHRON. A CELL. SAI","Leucémie chronique à cellules non précisées","Leucémie à cellules non précisées","C95"
"C957","neo","LEUCEMIES NCA, A CELL. SAI","Autres leucémies à cellules non précisées","Leucémie à cellules non précisées","C95"
"C959","neo","LEUCEMIE, SAI","Leucémie, sans précision","Leucémie à cellules non précisées","C95"
"C961","neo","*** SU11 *** HISTIOCYTOSE MALIGNE","*** SU11 *** Histiocytose maligne","Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées","C96"
"C962","neo","T.M. A MASTOCYTES","Tumeur maligne à mastocytes","Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées","C96"
"C966","neo","HISTIOCYTOSE A CELL. DE LANGERHANS UNIFOCALE","Histiocytose à cellules de Langerhans unifocale","Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées","C96"
"C967","neo","T.M. PREC. DES TISSUS LYMPHOIDE, HEMATO. ET APPARENTES, NCA","Autres tumeurs malignes précisées des tissus lymphoïde, hématopoïétique et apparentés","Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées","C96"
"C969","neo","T.M. DES TISSUS LYMPHOIDE, HEMATO. ET APPARENTES, SAI","Tumeur maligne des tissus lymphoïde, hématopoïétique et apparentés, sans précision","Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées","C96"
"C97","neo","T.M. DE SIEGES MULT. INDEPENDANTS","Tumeurs malignes de sièges multiples indépendants (primitifs)","Tumeurs malignes de sièges multiples indépendants (primitifs)","C97"
"D126","neo","T.B. DU COLON, SAI","Tumeur bénigne du côlon, sans précision","Tumeur bénigne du côlon, du rectum, de l'anus et du canal anal","D12"
"D131","neo","T.B. DE L'ESTOMAC","Tumeur bénigne de l'estomac","Tumeurs bénignes de parties autres et mal définies de l'appareil digestif","D13"
"D134","neo","T.B. DU FOIE","Tumeur bénigne du foie","Tumeurs bénignes de parties autres et mal définies de l'appareil digestif","D13"
"D136","neo","T.B. DU PANCREAS","Tumeur bénigne du pancréas","Tumeurs bénignes de parties autres et mal définies de l'appareil digestif","D13"
"D137","neo","T.B. DU PANCREAS ENDOCRINE","Tumeur bénigne du pancréas endocrine","Tumeurs bénignes de parties autres et mal définies de l'appareil digestif","D13"
"D139","none","T.B. DE SIEGES MAL DEFINIS DE L'APP. DIG.","Tumeur bénigne de sièges mal définis de l'appareil digestif","Tumeurs bénignes de parties autres et mal définies de l'appareil digestif","D13"
"D140","none","T.B. DE L'OREILLE MOY., DES FOSSES NASALES ET DU SINUS DE LA FACE","Tumeur bénigne de l'oreille moyenne, des fosses nasales et du sinus de la face","Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire","D14"
"D143","neo","T.B. DES BRONCHES ET DU POUMON","Tumeur bénigne des bronches et du poumon","Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire","D14"
"D151","neo","T.B. DU COEUR","Tumeur bénigne du coeur","Tumeur bénigne des organes intrathoraciques, autres et non précisés","D15"
"D157","neo","T.B. D'AUTRES ORG. INTRATHOR. PREC.","Tumeur bénigne d'autres organes intrathoraciques précisés","Tumeur bénigne des organes intrathoraciques, autres et non précisés","D15"
"D164","neo","T.B. DES OS DU CRANE ET DE LA FACE","Tumeur bénigne des os du crâne et de la face","Tumeur bénigne des os et du cartilage articulaire","D16"
"D165","neo","T.B. DU MAXILLAIRE INF.","Tumeur bénigne du maxillaire inférieur","Tumeur bénigne des os et du cartilage articulaire","D16"
"D174","none","T.B. LIPOMATEUSE DES ORG. INTRATHOR.","Tumeur lipomateuse bénigne des organes intrathoraciques","Tumeur lipomateuse bénigne","D17"
"D180","none","HEMANGIOME, TOUT SIEGE","Hémangiome, tout siège","Hémangiome et lymphangiome, tout siège","D18"
"D181","none","LYMPHANGIOME, TOUT SIEGE","Lymphangiome, tout siège","Hémangiome et lymphangiome, tout siège","D18"
"D239","neo","T.B. DE LA PEAU, SAI","Tumeur bénigne de la peau, sans précision","Autres tumeurs bénignes de la peau","D23"
"D259","otherncd","LEIOMYOME DE L'UTERUS, SAI","Léiomyome de l'utérus, sans précision","Léiomyome de l'utérus","D25"
"D27","neo","T.B. DE L'OVAIRE","Tumeur bénigne de l'ovaire","Tumeur bénigne de l'ovaire","D27"
"D300","none","T.B. DU REIN","Tumeur bénigne du rein","Tumeur bénigne des organes urinaires","D30"
"D303","neo","T.B. DE LA VESSIE","Tumeur bénigne de la vessie","Tumeur bénigne des organes urinaires","D30"
"D320","none","T.B. DES MENINGES CEREB.","Tumeur bénigne des méninges cérébrales","Tumeur bénigne des méninges","D32"
"D321","neo","T.B. DES MENINGES RACH.","Tumeur bénigne des méninges rachidiennes","Tumeur bénigne des méninges","D32"
"D329","neo","T.B. DES MENINGES, SAI","Tumeur bénigne des méninges, sans précision","Tumeur bénigne des méninges","D32"
"D330","none","T.B. DE L'ENCEPHALE, SUPRATENTORIEL","Tumeur bénigne de l'encéphale, supratentoriel","Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central","D33"
"D331","neo","T.B. DE L'ENCEPHALE, INFRATENTORIEL","Tumeur bénigne de l'encéphale, infratentoriel","Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central","D33"
"D332","neo","T.B. DE L'ENCEPHALE, SAI","Tumeur bénigne de l'encéphale, sans précision","Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central","D33"
"D333","neo","T.B. DES NERFS CRANIENS","Tumeur bénigne des nerfs crâniens","Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central","D33"
"D337","neo","T.B. D'AUTRES PARTIES PREC. DU S.N.C.","Tumeur bénigne d'autres parties précisées du système nerveux central","Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central","D33"
"D350","none","T.B. DE LA SURRENALE","Tumeur bénigne de la surrénale","Tumeur bénigne des glandes endocrines, autres et non précisées","D35"
"D352","neo","T.B. DE L'HYPOPHYSE","Tumeur bénigne de l'hypophyse","Tumeur bénigne des glandes endocrines, autres et non précisées","D35"
"D361","neo","T.B. DES NERFS PERIPH. ET DU SYST. NERV. AUTONOME","Tumeur bénigne des nerfs périphériques et du système nerveux autonome","Tumeur bénigne de sièges autres et non précisés","D36"
"D369","none","T.B. DE SIEGE SAI","Tumeur bénigne de siège non précisé","Tumeur bénigne de sièges autres et non précisés","D36"
"D370","none","T. EV. IMPR., INC. DE LA LEVRE, DE LA CAV. BUCC. ET DU PHARYNX","Tumeur à évolution imprévisible ou inconnue de la lèvre, de la cavité buccale et du pharynx","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D371","neo","T. EV. IMPR., INC. DE L'ESTOMAC","Tumeur à évolution imprévisible ou inconnue de l'estomac","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D372","neo","T. EV. IMPR., INC. DE L'INTESTIN GRELE","Tumeur à évolution imprévisible ou inconnue de l'intestin grêle","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D374","neo","T. EV. IMPR., INC. DU COLON","Tumeur à évolution imprévisible ou inconnue du côlon","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D375","neo","T. EV. IMPR., INC. DU RECTUM","Tumeur à évolution imprévisible ou inconnue du rectum","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D376","none","T. EV. IMPR., INC. DU FOIE, DE LA VESICULE ET DES VOIES BIL.","Tumeur à évolution imprévisible ou inconnue du foie, de la vésicule et des voies biliaires","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D377","none","T. EV. IMPR., INC. D'AUTRES ORG. DIG.","Tumeur à évolution imprévisible ou inconnue d'autres organes digestifs","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D379","none","T. EV. IMPR., INC. DE L'APP. DIG., SAI","Tumeur à évolution imprévisible ou inconnue de l'appareil digestif, sans précision","Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue","D37"
"D380","none","T. EV. IMPR., INC. DU LARYNX","Tumeur à évolution imprévisible ou inconnue du larynx","Tumeur de l'oreille moyenne et des organes respiratoires et intrathoraciques à évolution imprévisible ou inconnue","D38"
"D381","neo","T. EV. IMPR., INC. DE LA TRACHEE, DES BRONCHES ET DU POUMON","Tumeur à évolution imprévisible ou inconnue de la trachée, des bronches et du poumon","Tumeur de l'oreille moyenne et des organes respiratoires et intrathoraciques à évolution imprévisible ou inconnue","D38"
"D383","neo","T. EV. IMPR., INC. DU MEDIASTIN","Tumeur à évolution imprévisible ou inconnue du médiastin","Tumeur de l'oreille moyenne et des organes respiratoires et intrathoraciques à évolution imprévisible ou inconnue","D38"
"D385","neo","T. EV. IMPR., INC. D'AUTRES ORG. RESP.","Tumeur à évolution imprévisible ou inconnue d'autres organes respiratoires","Tumeur de l'oreille moyenne et des organes respiratoires et intrathoraciques à évolution imprévisible ou inconnue","D38"
"D390","none","T. EV. IMPR., INC. DE L'UTERUS","Tumeur à évolution imprévisible ou inconnue de l'utérus","Tumeur des organes génitaux de la femme à évolution imprévisible ou inconnue","D39"
"D391","neo","T. EV. IMPR., INC. DE L'OVAIRE","Tumeur à évolution imprévisible ou inconnue de l'ovaire","Tumeur des organes génitaux de la femme à évolution imprévisible ou inconnue","D39"
"D410","none","T. EV. IMPR., INC. DU REIN","Tumeur à évolution imprévisible ou inconnue du rein","Tumeur des organes urinaires à évolution imprévisible ou inconnue","D41"
"D412","neo","T. EV. IMPR., INC. DE L'URETERE","Tumeur à évolution imprévisible ou inconnue de l'uretère","Tumeur des organes urinaires à évolution imprévisible ou inconnue","D41"
"D414","neo","T. EV. IMPR., INC. DE LA VESSIE","Tumeur à évolution imprévisible ou inconnue de la vessie","Tumeur des organes urinaires à évolution imprévisible ou inconnue","D41"
"D429","neo","T. EV. IMPR., INC. DES MENINGES, SAI","Tumeur à évolution imprévisible ou inconnue des méninges, sans précision","Tumeur des méninges à évolution imprévisible ou inconnue","D42"
"D430","none","T. EV. IMPR., INC. DE L'ENCEPHALE, SUPRATENTORIEL","Tumeur à évolution imprévisible ou inconnue de l'encéphale, supratentoriel","Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue","D43"
"D431","neo","T. EV. IMPR., INC. DE L'ENCEPHALE, INFRATENTORIEL","Tumeur à évolution imprévisible ou inconnue de l'encéphale, infratentoriel","Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue","D43"
"D432","neo","T. EV. IMPR., INC. DE L'ENCEPHALE, SAI","Tumeur à évolution imprévisible ou inconnue de l'encéphale, sans précision","Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue","D43"
"D434","neo","T. EV. IMPR., INC. DE LA MOELLE EP.","Tumeur à évolution imprévisible ou inconnue de la moelle épinière","Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue","D43"
"D439","neo","T. EV. IMPR., INC. DU SYST. NERV. CENTRAL, SAI","Tumeur à évolution imprévisible ou inconnue du système nerveux (central), sans précision","Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue","D43"
"D440","none","T. EV. IMPR., INC. DE LA THYROIDE","Tumeur à évolution imprévisible ou inconnue de la thyroïde","Tumeur des glandes endocrines à évolution imprévisible ou inconnue","D44"
"D443","neo","T. EV. IMPR., INC. DE L'HYPOPHYSE","Tumeur à évolution imprévisible ou inconnue de l'hypophyse","Tumeur des glandes endocrines à évolution imprévisible ou inconnue","D44"
"D444","neo","T. EV. IMPR., INC. DU CANAL CRANIOPHARYNGIEN","Tumeur à évolution imprévisible ou inconnue du canal craniopharyngien","Tumeur des glandes endocrines à évolution imprévisible ou inconnue","D44"
"D445","neo","T. EV. IMPR., INC. DE L'EPIPHYSE","Tumeur à évolution imprévisible ou inconnue de l'épiphyse","Tumeur des glandes endocrines à évolution imprévisible ou inconnue","D44"
"D447","neo","T. EV. IMPR., INC. DU GLOMUS AORT. ET AUTRES PARAGANGLIONS","Tumeur à évolution imprévisible ou inconnue du glomus aortique et autres paraganglions","Tumeur des glandes endocrines à évolution imprévisible ou inconnue","D44"
"D448","neo","T. EV. IMPR., INC. DE PLUS. GLD. ENDOCRINES","Tumeur à évolution imprévisible ou inconnue de plusieurs glandes endocrines","Tumeur des glandes endocrines à évolution imprévisible ou inconnue","D44"
"D449","none","T. EV. IMPR., INC. D'UNE GLD. ENDOCRINE, SAI","Tumeur à évolution imprévisible ou inconnue d'une glande endocrine, sans précision","Tumeur des glandes endocrines à évolution imprévisible ou inconnue","D44"
"D45","neo","POLYGLOBULIE ESSENTIELLE","Polyglobulie essentielle","Polyglobulie essentielle","D45"
"D463","neo","*** SU11 *** ANEMIE REFRACTAIRE AVEC EXCES DE BLASTES EN TRANSFORM.","*** SU11 *** Anémie réfractaire avec excès de blastes en transformation","Syndromes myélodysplasiques","D46"
"D464","neo","ANEMIE REFRACTAIRE, SAI","Anémie réfractaire, non précisée","Syndromes myélodysplasiques","D46"
"D467","neo","SYND. MYELODYSPLASIQUES, NCA","Autres syndromes myélodysplasiques","Syndromes myélodysplasiques","D46"
"D469","neo","SYND. MYELODYSPLASIQUE, SAI","Syndrome myélodysplasique, sans précision","Syndromes myélodysplasiques","D46"
"D471","neo","MAL. MYELOPROLIFERATIVE","Maladie myéloproliférative (chronique)","Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue","D47"
"D472","neo","GAMMAPATHIE MONOCLONALE DE SIGNIFICATION INDETERMINEE","Gammapathie monoclonale de signification indéterminée [GMSI]","Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue","D47"
"D473","neo","THROMBOCYTEMIE ESSENTIELLE","Thrombocytémie essentielle (hémorragique)","Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue","D47"
"D474","neo","OSTEOMYELOFIBROSE","Ostéomyélofibrose","Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue","D47"
"D477","neo","T. EV. IMPR., INC. PREC. TISS. LYMPHOIDE, HEMATO. ET APPARENTES, NCA","Autres tumeurs précisées à évolution imprévisible et inconnue des tissus lymphoïde, hématopoïétique et apparentés à (évolution imprévisible ou inconnue)","Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue","D47"
"D479","neo","T. EV. IMPR., INC. DES TISSUS LYMPHOIDE, HEMATO. ET APPARENTES, SAI","Tumeur à évolution imprévisible et inconnue des tissus lymphoïde, hématopoïétique et apparentés (à évolution imprévisible ou inconnue), sans précision","Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue","D47"
"D480","none","T. EV. IMPR., INC. DES OS ET DU CARTILAGE ARTIC.","Tumeur à évolution imprévisible et inconnue des os et du cartilage articulaire","Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue","D48"
"D481","neo","T. EV. IMPR., INC. DU TISSU CONJ. ET DES TISSUS MOUS NCA","Tumeur à évolution imprévisible et inconnue du tissu conjonctif et des autres tissus mous","Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue","D48"
"D483","neo","T. EV. IMPR., INC. DU RETROPERITOINE","Tumeur à évolution imprévisible et inconnue du rétropéritoine","Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue","D48"
"D485","neo","T. EV. IMPR., INC. DE LA PEAU","Tumeur à évolution imprévisible et inconnue de la peau","Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue","D48"
"D487","none","T. EV. IMPR., INC. D'AUTRES SIEGES PREC.","Tumeur à évolution imprévisible et inconnue d'autres sièges précisés","Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue","D48"
"D489","none","T. EV. IMPR., INC. DE SIEGE SAI","Tumeur à évolution imprévisible ou inconnue, sans précision","Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue","D48"
"D500","none","ANEMIE PAR CARENCE EN FER IIRE. A UNE PERTE DE SANG","Anémie par carence en fer secondaire à une perte de sang (chronique)","Anémie par carence en fer","D50"
"D508","nutrition","ANEMIES PAR CARENCE EN FER, NCA","Autres anémies par carence en fer","Anémie par carence en fer","D50"
"D509","none","ANEMIE PAR CARENCE EN FER, SAI","Anémie par carence en fer, sans précision","Anémie par carence en fer","D50"
"D510","none","ANEMIE PAR CARENCE EN VIT. B12 DUE A UNE CARENCE EN FACT. INTRINS.","Anémie par carence en vitamine B12 due à une carence en facteur intrinsèque","Anémie par carence en vitamine B12","D51"
"D539","nutrition","ANEMIE NUTR., SAI","Anémie nutritionnelle, sans précision","Autres anémies nutritionnelles","D53"
"D560","none","ALPHA-THALASSEMIE","Alpha-thalassémie","Thalassémie","D56"
"D561","otherncd","BETA-THALASSEMIE","Bêta-thalassémie","Thalassémie","D56"
"D562","otherncd","DELTA-BETA-THALASSEMIE","Delta-bêta-thalassémie","Thalassémie","D56"
"D569","otherncd","THALASSEMIE, SAI","Thalassémie, sans précision","Thalassémie","D56"
"D571","otherncd","ANEMIE A HEMATIES FALCIFORMES","Anémie à hématies falciformes (sans crises)","Affections à hématies falciformes [drépanocytaires]","D57"
"D581","otherncd","ELLIPTOCYTOSE HERED.","Elliptocytose héréditaire","Autres anémies hémolytiques héréditaires","D58"
"D589","otherncd","ANEMIE HEMOLYTIQUE HERED., SAI","Anémie hémolytique héréditaire, sans précision","Autres anémies hémolytiques héréditaires","D58"
"D591","otherncd","ANEMIES HEMOLYTIQUES AUTO-IMMUNES, NCA","Autres anémies hémolytiques auto-immunes","Anémie hémolytique acquise","D59"
"D609","otherncd","APLASIE MEDULLAIRE ACQUISE PURE, SAI","Aplasie médullaire acquise pure, sans précision","Aplasie médullaire acquise pure [érythroblastopénie]","D60"
"D610","none","APLASIE MEDULLAIRE CONSTITUTIONNELLE","Aplasie médullaire constitutionnelle","Autres aplasies médullaires","D61"
"D619","otherncd","APLASIE MEDULLAIRE, SAI","Aplasie médullaire, sans précision","Autres aplasies médullaires","D61"
"D643","none","ANEMIES SIDEROBLASTIQUES, NCA","Autres anémies sidéroblastiques","Autres anémies","D64"
"D648","none","ANEMIES PREC., NCA","Autres anémies précisées","Autres anémies","D64"
"D649","none","ANEMIE, SAI","Anémie, sans précision","Autres anémies","D64"
"D65","neo","COAGULATION INTRAVASC. DISSEMINEE","Coagulation intravasculaire disséminée [syndrome de défibrination]","Coagulation intravasculaire disséminée [syndrome de défibrination]","D65"
"D66","otherncd","CARENCE HERED. EN FACT. VIII","Carence héréditaire en facteur VIII","Carence héréditaire en facteur VIII","D66"
"D680","none","MAL. DE VON WILLEBRAND","Maladie de von Willebrand","Autres anomalies de la coagulation","D68"
"D682","otherncd","CARENCE HERED. EN AUTRES FACT. DE COAGULATION","Carence héréditaire en autres facteurs de coagulation","Autres anomalies de la coagulation","D68"
"D684","otherncd","CARENCE ACQUISE EN FACT. DE COAGULATION","Carence acquise en facteur de coagulation","Autres anomalies de la coagulation","D68"
"D685","otherncd","THROMBOPHILIE PRIMAIRE","Thrombophilie primaire","Autres anomalies de la coagulation","D68"
"D686","otherncd","THROMBOPHILIE NCA","Autres thrombophilies","Autres anomalies de la coagulation","D68"
"D688","otherncd","ANOM. PREC. DE LA COAGULATION, NCA","Autres anomalies précisées de la coagulation","Autres anomalies de la coagulation","D68"
"D689","otherncd","ANOM. DE LA COAGULATION, SAI","Anomalie de la coagulation, sans précision","Autres anomalies de la coagulation","D68"
"D690","none","PURPURA ALLERGIQUE","Purpura allergique","Purpura et autres affections hémorragiques","D69"
"D693","otherncd","PURPURA THROMBOPENIQUE IDIOP.","Purpura thrombopénique idiopathique","Purpura et autres affections hémorragiques","D69"
