causeid,all_text
otherncd,"['e348', 'specified', 'endocrine', 'disorders', 'disorders', 'endocrine', 'glands', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e41', 'nutritional', 'marasmus', 'malnutrition', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e43', 'unspecified', 'severe', 'proteincalorie', 'malnutrition', 'malnutrition', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e46', 'unspecified', 'proteincalorie', 'malnutrition', 'malnutrition', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
nutrition,"['e538', 'deficiency', 'specified', 'b', 'group', 'vitamins', 'nutritional', 'deficiencies', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
nutrition,"['e639', 'nutritional', 'deficiency', 'unspecified', 'nutritional', 'deficiencies', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e662', 'morbid', 'severe', 'obesity', 'alveolar', 'hypoventilation', 'overweight', 'obesity', 'hyperalimentation', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e668', 'obesity', 'overweight', 'obesity', 'hyperalimentation', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e669', 'obesity', 'unspecified', 'overweight', 'obesity', 'hyperalimentation', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e711', 'disorders', 'branchedchain', 'aminoacid', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e712', 'disorder', 'branchedchain', 'aminoacid', 'metabolism', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e713', 'disorders', 'fattyacid', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e721', 'disorders', 'sulfurbearing', 'aminoacid', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e722', 'disorders', 'urea', 'cycle', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e723', 'disorders', 'lysine', 'hydroxylysine', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e724', 'disorders', 'ornithine', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e725', 'disorders', 'glycine', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e728', 'specified', 'disorders', 'aminoacid', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e742', 'disorders', 'galactose', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e743', 'disorders', 'intestinal', 'carbohydrate', 'absorption', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e744', 'disorders', 'pyruvate', 'metabolism', 'gluconeogenesis', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e751', 'unspecified', 'gangliosidosis', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e752', 'sphingolipidosis', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e754', 'neuronal', 'ceroid', 'lipofuscinosis', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e756', 'lipid', 'storage', 'disorder', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e762', 'mucopolysaccharidoses', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e763', 'mucopolysaccharidosis', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e778', 'disorders', 'glycoprotein', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e781', 'pure', 'hyperglyceridemia', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e782', 'mixed', 'hyperlipidemia', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e785', 'hyperlipidemia', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e788', 'disorders', 'lipoprotein', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e789', 'disorder', 'lipoprotein', 'metabolism', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e802', 'unspecified', 'porphyria', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e831', 'disorders', 'iron', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e833', 'disorders', 'phosphorus', 'metabolism', 'phosphatases', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e835', 'disorders', 'calcium', 'metabolism', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e841', 'cystic', 'fibrosis', 'intestinal', 'manifestations', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e848', 'cystic', 'fibrosis', 'manifestations', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e849', 'cystic', 'fibrosis', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e852', 'heredofamilial', 'amyloidosis', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e888', 'specified', 'metabolic', 'disorders', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
otherncd,"['e889', 'metabolic', 'disorder', 'unspecified', 'metabolic', 'disorders', 'endocrine', 'nutritional', 'metabolic', 'diseases']"
neuro,"['f03', 'unspecified', 'dementia', 'mental', 'disorders', 'due', 'known', 'physiological', 'conditions', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f101', 'alcohol', 'abuse', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f102', 'alcohol', 'dependence', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f109', 'alcohol', 'use', 'unspecified', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f111', 'opioid', 'abuse', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f112', 'opioid', 'dependence', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f119', 'opioid', 'use', 'unspecified', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f131', 'sedative', 'hypnotic', 'anxiolyticrelated', 'abuse', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f141', 'cocaine', 'abuse', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f149', 'cocaine', 'use', 'unspecified', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f151', 'stimulant', 'abuse', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f159', 'stimulant', 'use', 'unspecified', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f191', 'psychoactive', 'substance', 'abuse', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f192', 'psychoactive', 'substance', 'dependence', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
subs,"['f199', 'psychoactive', 'substance', 'use', 'unspecified', 'mental', 'behavioral', 'disorders', 'due', 'psychoactive', 'substance', 'use', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
neuro,"['f29', 'unspecified', 'psychosis', 'due', 'substance', 'known', 'physiological', 'condition', 'schizophrenia', 'schizotypal', 'delusional', 'nonmood', 'psychotic', 'disorders', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
neuro,"['f39', 'unspecified', 'mood', 'affective', 'disorder', 'mood', 'affective', 'disorders', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
mental,"['f502', 'bulimia', 'nervosa', 'behavioral', 'syndromes', 'associated', 'physiological', 'disturbances', 'physical', 'factors', 'mental', 'behavioral', 'neurodevelopmental', 'disorders']"
infect,"['g001', 'pneumococcal', 'meningitis', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
infect,"['g002', 'streptococcal', 'meningitis', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
infect,"['g003', 'staphylococcal', 'meningitis', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
infect,"['g008', 'bacterial', 'meningitis', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g030', 'nonpyogenic', 'meningitis', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g041', 'tropical', 'spastic', 'paraplegia', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
infect,"['g048', 'encephalitis', 'myelitis', 'encephalomyelitis', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
infect,"['g049', 'encephalitis', 'myelitis', 'encephalomyelitis', 'unspecified', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g061', 'intraspinal', 'abscess', 'granuloma', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
infect,"['g08', 'intracranial', 'intraspinal', 'phlebitis', 'thrombophlebitis', 'inflammatory', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g10', 'huntingtons', 'disease', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g111', 'earlyonset', 'cerebellar', 'ataxia', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g114', 'hereditary', 'spastic', 'paraplegia', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g119', 'hereditary', 'ataxia', 'unspecified', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g121', 'inherited', 'spinal', 'muscular', 'atrophy', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g122', 'motor', 'neuron', 'disease', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g128', 'spinal', 'muscular', 'atrophies', 'related', 'syndromes', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g129', 'spinal', 'muscular', 'atrophy', 'unspecified', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
infect,"['g14', 'postpolio', 'syndrome', 'systemic', 'atrophies', 'primarily', 'affecting', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g20', 'parkinsons', 'disease', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g231', 'progressive', 'supranuclear', 'ophthalmoplegia', 'steelerichardsonolszewski', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g232', 'striatonigral', 'degeneration', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g238', 'specified', 'degenerative', 'diseases', 'basal', 'ganglia', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g239', 'degenerative', 'disease', 'basal', 'ganglia', 'unspecified', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g241', 'genetic', 'torsion', 'dystonia', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g244', 'idiopathic', 'orofacial', 'dystonia', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g249', 'dystonia', 'unspecified', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g253', 'myoclonus', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g255', 'chorea', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g258', 'specified', 'extrapyramidal', 'movement', 'disorders', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g259', 'extrapyramidal', 'movement', 'disorder', 'unspecified', 'extrapyramidal', 'movement', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g301', 'alzheimers', 'disease', 'late', 'onset', 'degenerative', 'diseases', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g308', 'alzheimers', 'disease', 'degenerative', 'diseases', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g309', 'alzheimers', 'disease', 'unspecified', 'degenerative', 'diseases', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g311', 'senile', 'degeneration', 'brain', 'elsewhere', 'classified', 'degenerative', 'diseases', 'nervous', 'system', 'diseases', 'nervous', 'system']"
subs,"['g312', 'degeneration', 'nervous', 'system', 'due', 'alcohol', 'degenerative', 'diseases', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g318', 'specified', 'degenerative', 'diseases', 'nervous', 'system', 'degenerative', 'diseases', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g319', 'degenerative', 'disease', 'nervous', 'system', 'unspecified', 'degenerative', 'diseases', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g35', 'multiple', 'sclerosis', 'demyelinating', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g372', 'central', 'pontine', 'myelinolysis', 'demyelinating', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g373', 'acute', 'transverse', 'myelitis', 'demyelinating', 'disease', 'central', 'nervous', 'system', 'demyelinating', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g379', 'demyelinating', 'disease', 'central', 'nervous', 'system', 'unspecified', 'demyelinating', 'diseases', 'central', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g402', 'localizationrelated', 'focal', 'partial', 'symptomatic', 'epilepsy', 'epileptic', 'syndromes', 'complex', 'partial', 'seizures', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g403', 'generalized', 'idiopathic', 'epilepsy', 'epileptic', 'syndromes', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g404', 'generalized', 'epilepsy', 'epileptic', 'syndromes', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g405', 'epileptic', 'seizures', 'related', 'external', 'causes', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g409', 'epilepsy', 'unspecified', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
cvd,"['g458', 'transient', 'cerebral', 'ischemic', 'attacks', 'related', 'syndromes', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
cvd,"['g459', 'transient', 'cerebral', 'ischemic', 'attack', 'unspecified', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
resp,"['g473', 'sleep', 'apnea', 'episodic', 'paroxysmal', 'disorders', 'diseases', 'nervous', 'system']"
neuro,"['g618', 'inflammatory', 'polyneuropathies', 'polyneuropathies', 'disorders', 'peripheral', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g709', 'myoneural', 'disorder', 'unspecified', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g711', 'myotonic', 'disorders', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g712', 'congenital', 'myopathies', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g713', 'mitochondrial', 'myopathy', 'elsewhere', 'classified', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g719', 'primary', 'disorder', 'muscle', 'unspecified', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g724', 'inflammatory', 'immune', 'myopathies', 'elsewhere', 'classified', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g728', 'specified', 'myopathies', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g729', 'myopathy', 'unspecified', 'diseases', 'myoneural', 'junction', 'muscle', 'diseases', 'nervous', 'system']"
neuro,"['g901', 'familial', 'dysautonomia', 'rileyday', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g903', 'multisystem', 'degeneration', 'autonomic', 'nervous', 'system', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g904', 'autonomic', 'dysreflexia', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g908', 'disorders', 'autonomic', 'nervous', 'system', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g909', 'disorder', 'autonomic', 'nervous', 'system', 'unspecified', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g951', 'vascular', 'myelopathies', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g958', 'specified', 'diseases', 'spinal', 'cord', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
neuro,"['g959', 'disease', 'spinal', 'cord', 'unspecified', 'disorders', 'nervous', 'system', 'diseases', 'nervous', 'system']"
respinfect,"['h701', 'chronic', 'mastoiditis', 'diseases', 'middle', 'ear', 'mastoid', 'diseases', 'ear', 'mastoid', 'process']"
respinfect,"['h709', 'unspecified', 'mastoiditis', 'diseases', 'middle', 'ear', 'mastoid', 'diseases', 'ear', 'mastoid', 'process']"
cvd,"['i018', 'acute', 'rheumatic', 'heart', 'disease', 'acute', 'rheumatic', 'fever', 'diseases', 'circulatory', 'system']"
cvd,"['i051', 'rheumatic', 'mitral', 'insufficiency', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i052', 'rheumatic', 'mitral', 'stenosis', 'insufficiency', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i058', 'rheumatic', 'mitral', 'valve', 'diseases', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i059', 'rheumatic', 'mitral', 'valve', 'disease', 'unspecified', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i060', 'rheumatic', 'aortic', 'stenosis', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i069', 'rheumatic', 'aortic', 'valve', 'disease', 'unspecified', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i071', 'rheumatic', 'tricuspid', 'insufficiency', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i078', 'rheumatic', 'tricuspid', 'valve', 'diseases', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i079', 'rheumatic', 'tricuspid', 'valve', 'disease', 'unspecified', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i080', 'rheumatic', 'disorders', 'mitral', 'aortic', 'valves', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i081', 'rheumatic', 'disorders', 'mitral', 'tricuspid', 'valves', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i082', 'rheumatic', 'disorders', 'aortic', 'tricuspid', 'valves', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i083', 'combined', 'rheumatic', 'disorders', 'mitral', 'aortic', 'tricuspid', 'valves', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i088', 'rheumatic', 'multiple', 'valve', 'diseases', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i089', 'rheumatic', 'multiple', 'valve', 'disease', 'unspecified', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i091', 'rheumatic', 'diseases', 'endocardium', 'valve', 'unspecified', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i099', 'rheumatic', 'heart', 'disease', 'unspecified', 'chronic', 'rheumatic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i119', 'hypertensive', 'heart', 'disease', 'without', 'heart', 'failure', 'hypertensive', 'diseases', 'diseases', 'circulatory', 'system']"
diab_ckd,"['i129', 'hypertensive', 'chronic', 'kidney', 'disease', 'stage', '1', 'stage', '4', 'chronic', 'kidney', 'disease', 'unspecified', 'chronic', 'kidney', 'disease', 'hypertensive', 'diseases', 'diseases', 'circulatory', 'system']"
diab_ckd,"['i131', 'hypertensive', 'heart', 'chronic', 'kidney', 'disease', 'without', 'heart', 'failure', 'hypertensive', 'diseases', 'diseases', 'circulatory', 'system']"
diab_ckd,"['i132', 'hypertensive', 'heart', 'chronic', 'kidney', 'disease', 'heart', 'failure', 'stage', '5', 'chronic', 'kidney', 'disease', 'end', 'stage', 'renal', 'disease', 'hypertensive', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i201', 'angina', 'pectoris', 'documented', 'spasm', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i208', 'forms', 'angina', 'pectoris', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i209', 'angina', 'pectoris', 'unspecified', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i211', 'st', 'elevation', 'stemi', 'myocardial', 'infarction', 'inferior', 'wall', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i212', 'st', 'elevation', 'stemi', 'myocardial', 'infarction', 'sites', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i213', 'st', 'elevation', 'stemi', 'myocardial', 'infarction', 'unspecified', 'site', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i214', 'nonst', 'elevation', 'nstemi', 'myocardial', 'infarction', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i219', 'acute', 'myocardial', 'infarction', 'unspecified', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i229', 'subsequent', 'st', 'elevation', 'stemi', 'myocardial', 'infarction', 'unspecified', 'site', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i241', 'dresslers', 'syndrome', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i248', 'forms', 'acute', 'ischemic', 'heart', 'disease', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i249', 'acute', 'ischemic', 'heart', 'disease', 'unspecified', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i251', 'atherosclerotic', 'heart', 'disease', 'native', 'coronary', 'artery', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i252', 'old', 'myocardial', 'infarction', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i253', 'aneurysm', 'heart', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i254', 'coronary', 'artery', 'aneurysm', 'dissection', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i255', 'ischemic', 'cardiomyopathy', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i256', 'silent', 'myocardial', 'ischemia', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i258', 'forms', 'chronic', 'ischemic', 'heart', 'disease', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
cvd,"['i259', 'chronic', 'ischemic', 'heart', 'disease', 'unspecified', 'ischemic', 'heart', 'diseases', 'diseases', 'circulatory', 'system']"
msk,"['i271', 'kyphoscoliotic', 'heart', 'disease', 'pulmonary', 'heart', 'disease', 'diseases', 'pulmonary', 'circulation', 'diseases', 'circulatory', 'system']"
cvd,"['i281', 'aneurysm', 'pulmonary', 'artery', 'pulmonary', 'heart', 'disease', 'diseases', 'pulmonary', 'circulation', 'diseases', 'circulatory', 'system']"
cvd,"['i288', 'diseases', 'pulmonary', 'vessels', 'pulmonary', 'heart', 'disease', 'diseases', 'pulmonary', 'circulation', 'diseases', 'circulatory', 'system']"
cvd,"['i301', 'infective', 'pericarditis', 'forms', 'heart', 'disease', 'diseases', 'circulatory', 'system']"
cvd,"['i308', 'forms', 'acute', 'pericarditis', 'forms', 'heart', 'disease', 'diseases', 'circulatory', 'system']"
cvd,"['i309', 'acute', 'pericarditis', 'unspecified', 'forms', 'heart', 'disease', 'diseases', 'circulatory', 'system']"
cvd,"['i311', 'chronic', 'constrictive', 'pericarditis', 'forms', 'heart', 'disease', 'diseases', 'circulatory', 'system']"
cvd,"['i318', 'specified', 'diseases', 'pericardium', 'forms', 'heart', 'disease', 'diseases', 'circulatory', 'system']"
