code,causeid,short_desc,long_desc,three_digit,sub_chapter,chapter
C779,none,"Secondary and unsp malignant neoplasm of lymph node, unsp","Secondary and unspecified malignant neoplasm of lymph node, unspecified",C77,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms
C780,none,Secondary malignant neoplasm of lung,Secondary malignant neoplasm of lung,C78,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms
C781,none,Secondary malignant neoplasm of mediastinum,Secondary malignant neoplasm of mediastinum,C78,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms
C782,none,Secondary malignant neoplasm of pleura,Secondary malignant neoplasm of pleura,C78,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms
C786,none,Secondary malignant neoplasm of retroperiton and peritoneum,Secondary malignant neoplasm of retroperitoneum and peritoneum,C78,Malignant Neuroendocrine Tumors,Neoplasms
C787,none,Secondary malig neoplasm of liver and intrahepatic bile duct,Secondary malignant neoplasm of liver and intrahepatic bile duct,C78,Malignant Neuroendocrine Tumors,Neoplasms
C788,none,Secondary malignant neoplasm of and unsp digestive organs,Secondary malignant neoplasm of other and unspecified digestive organs,C78,Malignant Neuroendocrine Tumors,Neoplasms
C792,none,Secondary malignant neoplasm of skin,Secondary malignant neoplasm of skin,C79,Malignant Neuroendocrine Tumors,Neoplasms
C793,none,Secondary malignant neoplasm of brain and cerebral meninges,Secondary malignant neoplasm of brain and cerebral meninges,C79,Malignant Neuroendocrine Tumors,Neoplasms
C794,none,Secondary malig neoplasm of and unsp parts of nervous sys,Secondary malignant neoplasm of other and unspecified parts of nervous system,C79,Malignant Neuroendocrine Tumors,Neoplasms
C795,none,Secondary malignant neoplasm of bone and bone marrow,Secondary malignant neoplasm of bone and bone marrow,C79,Malignant Neuroendocrine Tumors,Neoplasms
C798,none,Secondary malignant neoplasm of other specified sites,Secondary malignant neoplasm of other specified sites,C79,Secondary Neuroendocrine Tumors,Neoplasms
C80,none,Malignant neoplasm without specification of site,Malignant neoplasm without specification of site,C80,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms
C800,none,"Disseminated malignant neoplasm, unspecified","Disseminated malignant neoplasm, unspecified",C80,"Malignant Neoplasms Of Ill-Defined, Other Secondary And Unspecified Sites",Neoplasms
C809,none,NA,NA,NA,NA,NA
C819,neo,"Hodgkin lymphoma, unspecified","Hodgkin lymphoma, unspecified",C81,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C820,none,Follicular lymphoma grade I,Follicular lymphoma grade I,C82,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C821,neo,Follicular lymphoma grade II,Follicular lymphoma grade II,C82,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C827,neo,NA,NA,NA,NA,NA
C829,neo,"Follicular lymphoma, unspecified","Follicular lymphoma, unspecified",C82,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C830,none,Small cell B-cell lymphoma,Small cell B-cell lymphoma,C83,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C831,neo,Mantle cell lymphoma,Mantle cell lymphoma,C83,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C833,neo,Diffuse large B-cell lymphoma,Diffuse large B-cell lymphoma,C83,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C834,neo,NA,NA,NA,NA,NA
C835,neo,Lymphoblastic (diffuse) lymphoma,Lymphoblastic (diffuse) lymphoma,C83,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C837,neo,Burkitt lymphoma,Burkitt lymphoma,C83,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C838,neo,Other non-follicular lymphoma,Other non-follicular lymphoma,C83,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C839,neo,"Non-follicular (diffuse) lymphoma, unspecified","Non-follicular (diffuse) lymphoma, unspecified",C83,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C840,none,Mycosis fungoides,Mycosis fungoides,C84,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C844,neo,"Peripheral T-cell lymphoma, not classified","Peripheral T-cell lymphoma, not classified",C84,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C845,neo,NA,NA,NA,NA,NA
C850,none,NA,NA,NA,NA,NA
C851,neo,Unspecified B-cell lymphoma,Unspecified B-cell lymphoma,C85,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C852,neo,Mediastinal (thymic) large B-cell lymphoma,Mediastinal (thymic) large B-cell lymphoma,C85,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C857,neo,NA,NA,NA,NA,NA
C859,neo,"Non-Hodgkin lymphoma, unspecified","Non-Hodgkin lymphoma, unspecified",C85,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C880,none,Waldenstrom macroglobulinemia,Waldenstrom macroglobulinemia,C88,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C882,neo,Heavy chain disease,Heavy chain disease,C88,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C900,none,Multiple myeloma,Multiple myeloma,C90,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C901,neo,Plasma cell leukemia,Plasma cell leukemia,C90,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C902,neo,Extramedullary plasmacytoma,Extramedullary plasmacytoma,C90,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C910,none,Acute lymphoblastic leukemia [ALL],Acute lymphoblastic leukemia [ALL],C91,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C911,neo,Chronic lymphocytic leukemia of B-cell type,Chronic lymphocytic leukemia of B-cell type,C91,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C913,neo,Prolymphocytic leukemia of B-cell type,Prolymphocytic leukemia of B-cell type,C91,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C914,neo,Hairy cell leukemia,Hairy cell leukemia,C91,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C915,neo,Adult T-cell lymphoma/leukemia (HTLV-1-associated),Adult T-cell lymphoma/leukemia (HTLV-1-associated),C91,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C917,neo,NA,NA,NA,NA,NA
C919,neo,"Lymphoid leukemia, unspecified","Lymphoid leukemia, unspecified",C91,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C920,none,Acute myeloblastic leukemia,Acute myeloblastic leukemia,C92,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C921,neo,"Chronic myeloid leukemia, BCR/ABL-positive","Chronic myeloid leukemia, BCR/ABL-positive",C92,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C922,neo,"Atypical chronic myeloid leukemia, BCR/ABL-negative","Atypical chronic myeloid leukemia, BCR/ABL-negative",C92,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C923,neo,Myeloid sarcoma,Myeloid sarcoma,C92,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C924,neo,Acute promyelocytic leukemia,Acute promyelocytic leukemia,C92,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C925,neo,Acute myelomonocytic leukemia,Acute myelomonocytic leukemia,C92,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C927,neo,NA,NA,NA,NA,NA
C929,neo,"Myeloid leukemia, unspecified","Myeloid leukemia, unspecified",C92,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C930,none,Acute monoblastic/monocytic leukemia,Acute monoblastic/monocytic leukemia,C93,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C931,neo,Chronic myelomonocytic leukemia,Chronic myelomonocytic leukemia,C93,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C939,neo,"Monocytic leukemia, unspecified","Monocytic leukemia, unspecified",C93,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C940,none,Acute erythroid leukemia,Acute erythroid leukemia,C94,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C944,neo,Acute panmyelosis with myelofibrosis,Acute panmyelosis with myelofibrosis,C94,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C945,neo,NA,NA,NA,NA,NA
C947,neo,NA,NA,NA,NA,NA
C950,none,Acute leukemia of unspecified cell type,Acute leukemia of unspecified cell type,C95,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C951,neo,Chronic leukemia of unspecified cell type,Chronic leukemia of unspecified cell type,C95,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C957,neo,NA,NA,NA,NA,NA
C959,neo,"Leukemia, unspecified","Leukemia, unspecified",C95,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C961,neo,NA,NA,NA,NA,NA
C962,neo,Malignant mast cell neoplasm,Malignant mast cell neoplasm,C96,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C966,neo,Unifocal Langerhans-cell histiocytosis,Unifocal Langerhans-cell histiocytosis,C96,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C967,neo,NA,NA,NA,NA,NA
C969,neo,"Malig neoplm of lymphoid, hematpoetc and rel tissue, unsp","Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",C96,"Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue",Neoplasms
C97,neo,NA,NA,NA,NA,NA
D126,neo,"Benign neoplasm of colon, unspecified","Benign neoplasm of colon, unspecified",D12,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D131,neo,Benign neoplasm of stomach,Benign neoplasm of stomach,D13,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D134,neo,Benign neoplasm of liver,Benign neoplasm of liver,D13,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D136,neo,Benign neoplasm of pancreas,Benign neoplasm of pancreas,D13,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D137,neo,Benign neoplasm of endocrine pancreas,Benign neoplasm of endocrine pancreas,D13,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D139,none,Benign neoplasm of ill-defined sites within the dgstv sys,Benign neoplasm of ill-defined sites within the digestive system,D13,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D140,none,"Benign neoplasm of mid ear, nasl cav and accessory sinuses","Benign neoplasm of middle ear, nasal cavity and accessory sinuses",D14,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D143,neo,Benign neoplasm of bronchus and lung,Benign neoplasm of bronchus and lung,D14,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D151,neo,Benign neoplasm of heart,Benign neoplasm of heart,D15,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D157,neo,Benign neoplasm of other specified intrathoracic organs,Benign neoplasm of other specified intrathoracic organs,D15,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D164,neo,Benign neoplasm of bones of skull and face,Benign neoplasm of bones of skull and face,D16,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D165,neo,Benign neoplasm of lower jaw bone,Benign neoplasm of lower jaw bone,D16,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D174,none,Benign lipomatous neoplasm of intrathoracic organs,Benign lipomatous neoplasm of intrathoracic organs,D17,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D180,none,Hemangioma,Hemangioma,D18,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D181,none,"Lymphangioma, any site","Lymphangioma, any site",D18,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D239,neo,"Other benign neoplasm of skin, unspecified","Other benign neoplasm of skin, unspecified",D23,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D259,otherncd,"Leiomyoma of uterus, unspecified","Leiomyoma of uterus, unspecified",D25,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D27,neo,Benign neoplasm of ovary,Benign neoplasm of ovary,D27,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D300,none,Benign neoplasm of kidney,Benign neoplasm of kidney,D30,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D303,neo,Benign neoplasm of bladder,Benign neoplasm of bladder,D30,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D320,none,Benign neoplasm of cerebral meninges,Benign neoplasm of cerebral meninges,D32,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D321,neo,Benign neoplasm of spinal meninges,Benign neoplasm of spinal meninges,D32,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D329,neo,"Benign neoplasm of meninges, unspecified","Benign neoplasm of meninges, unspecified",D32,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D330,none,"Benign neoplasm of brain, supratentorial","Benign neoplasm of brain, supratentorial",D33,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D331,neo,"Benign neoplasm of brain, infratentorial","Benign neoplasm of brain, infratentorial",D33,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D332,neo,"Benign neoplasm of brain, unspecified","Benign neoplasm of brain, unspecified",D33,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D333,neo,Benign neoplasm of cranial nerves,Benign neoplasm of cranial nerves,D33,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D337,neo,Benign neoplasm of oth parts of central nervous system,Benign neoplasm of other specified parts of central nervous system,D33,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D350,none,Benign neoplasm of adrenal gland,Benign neoplasm of adrenal gland,D35,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D352,neo,Benign neoplasm of pituitary gland,Benign neoplasm of pituitary gland,D35,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D361,neo,Benign neoplasm of prph nerves and autonomic nervous sys,Benign neoplasm of peripheral nerves and autonomic nervous system,D36,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D369,none,"Benign neoplasm, unspecified site","Benign neoplasm, unspecified site",D36,"Benign Neoplasms, Except Benign Neuroendocrine Tumors",Neoplasms
D370,none,"Neoplasm of uncrt behavior of lip, oral cavity and pharynx","Neoplasm of uncertain behavior of lip, oral cavity and pharynx",D37,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D371,neo,Neoplasm of uncertain behavior of stomach,Neoplasm of uncertain behavior of stomach,D37,Benign Neuroendocrine Tumors,Neoplasms
D372,neo,Neoplasm of uncertain behavior of small intestine,Neoplasm of uncertain behavior of small intestine,D37,Benign Neuroendocrine Tumors,Neoplasms
D374,neo,Neoplasm of uncertain behavior of colon,Neoplasm of uncertain behavior of colon,D37,Benign Neuroendocrine Tumors,Neoplasms
D375,neo,Neoplasm of uncertain behavior of rectum,Neoplasm of uncertain behavior of rectum,D37,Benign Neuroendocrine Tumors,Neoplasms
D376,none,"Neoplasm of uncertain behavior of liver, GB & bile duct","Neoplasm of uncertain behavior of liver, gallbladder and bile ducts",D37,Benign Neuroendocrine Tumors,Neoplasms
D377,none,NA,NA,NA,NA,NA
D379,none,"Neoplasm of uncertain behavior of digestive organ, unsp","Neoplasm of uncertain behavior of digestive organ, unspecified",D37,Benign Neuroendocrine Tumors,Neoplasms
D380,none,Neoplasm of uncertain behavior of larynx,Neoplasm of uncertain behavior of larynx,D38,Benign Neuroendocrine Tumors,Neoplasms
D381,neo,"Neoplasm of uncertain behavior of trachea, bronchus and lung","Neoplasm of uncertain behavior of trachea, bronchus and lung",D38,Benign Neuroendocrine Tumors,Neoplasms
D383,neo,Neoplasm of uncertain behavior of mediastinum,Neoplasm of uncertain behavior of mediastinum,D38,Benign Neuroendocrine Tumors,Neoplasms
D385,neo,Neoplasm of uncertain behavior of other respiratory organs,Neoplasm of uncertain behavior of other respiratory organs,D38,Benign Neuroendocrine Tumors,Neoplasms
D390,none,Neoplasm of uncertain behavior of uterus,Neoplasm of uncertain behavior of uterus,D39,Benign Neuroendocrine Tumors,Neoplasms
D391,neo,Neoplasm of uncertain behavior of ovary,Neoplasm of uncertain behavior of ovary,D39,Benign Neuroendocrine Tumors,Neoplasms
D410,none,Neoplasm of uncertain behavior of kidney,Neoplasm of uncertain behavior of kidney,D41,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D412,neo,Neoplasm of uncertain behavior of ureter,Neoplasm of uncertain behavior of ureter,D41,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D414,neo,Neoplasm of uncertain behavior of bladder,Neoplasm of uncertain behavior of bladder,D41,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D429,neo,"Neoplasm of uncertain behavior of meninges, unspecified","Neoplasm of uncertain behavior of meninges, unspecified",D42,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D430,none,"Neoplasm of uncertain behavior of brain, supratentorial","Neoplasm of uncertain behavior of brain, supratentorial",D43,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D431,neo,"Neoplasm of uncertain behavior of brain, infratentorial","Neoplasm of uncertain behavior of brain, infratentorial",D43,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D432,neo,"Neoplasm of uncertain behavior of brain, unspecified","Neoplasm of uncertain behavior of brain, unspecified",D43,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D434,neo,Neoplasm of uncertain behavior of spinal cord,Neoplasm of uncertain behavior of spinal cord,D43,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D439,neo,"Neoplasm of uncertain behavior of cnsl, unsp","Neoplasm of uncertain behavior of central nervous system, unspecified",D43,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D440,none,Neoplasm of uncertain behavior of thyroid gland,Neoplasm of uncertain behavior of thyroid gland,D44,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D443,neo,Neoplasm of uncertain behavior of pituitary gland,Neoplasm of uncertain behavior of pituitary gland,D44,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D444,neo,Neoplasm of uncertain behavior of craniopharyngeal duct,Neoplasm of uncertain behavior of craniopharyngeal duct,D44,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D445,neo,Neoplasm of uncertain behavior of pineal gland,Neoplasm of uncertain behavior of pineal gland,D44,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D447,neo,Neoplasm of uncrt behav of aortic body and oth paraganglia,Neoplasm of uncertain behavior of aortic body and other paraganglia,D44,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D448,neo,NA,NA,NA,NA,NA
D449,none,Neoplasm of uncertain behavior of unsp endocrine gland,Neoplasm of uncertain behavior of unspecified endocrine gland,D44,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D45,neo,Polycythemia vera,Polycythemia vera,D45,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D463,neo,NA,NA,NA,NA,NA
D464,neo,"Refractory anemia, unspecified","Refractory anemia, unspecified",D46,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D467,neo,NA,NA,NA,NA,NA
D469,neo,"Myelodysplastic syndrome, unspecified","Myelodysplastic syndrome, unspecified",D46,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D471,neo,Chronic myeloproliferative disease,Chronic myeloproliferative disease,D47,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D472,neo,Monoclonal gammopathy,Monoclonal gammopathy,D47,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D473,neo,Essential (hemorrhagic) thrombocythemia,Essential (hemorrhagic) thrombocythemia,D47,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D474,neo,Osteomyelofibrosis,Osteomyelofibrosis,D47,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D477,neo,NA,NA,NA,NA,NA
D479,neo,"Neoplm of uncrt behav of lymphoid,hematpoetc & rel tiss,unsp","Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified",D47,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D480,none,Neoplasm of uncertain behavior of bone/artic cartl,Neoplasm of uncertain behavior of bone and articular cartilage,D48,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D481,neo,Neoplasm of uncertain behavior of connctv/soft tiss,Neoplasm of uncertain behavior of connective and other soft tissue,D48,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D483,neo,Neoplasm of uncertain behavior of retroperitoneum,Neoplasm of uncertain behavior of retroperitoneum,D48,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D485,neo,Neoplasm of uncertain behavior of skin,Neoplasm of uncertain behavior of skin,D48,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D487,none,Neoplasm of uncertain behavior of other specified sites,Neoplasm of uncertain behavior of other specified sites,D48,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D489,none,"Neoplasm of uncertain behavior, unspecified","Neoplasm of uncertain behavior, unspecified",D48,"Neoplasms Of Uncertain Behavior, Polycythemia Vera And Myelodysplastic Syndromes",Neoplasms
D500,none,Iron deficiency anemia secondary to blood loss (chronic),Iron deficiency anemia secondary to blood loss (chronic),D50,Nutritional Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D508,nutrition,Other iron deficiency anemias,Other iron deficiency anemias,D50,Nutritional Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D509,none,"Iron deficiency anemia, unspecified","Iron deficiency anemia, unspecified",D50,Nutritional Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D510,none,Vitamin B12 defic anemia due to intrinsic factor deficiency,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,D51,Nutritional Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D539,nutrition,"Nutritional anemia, unspecified","Nutritional anemia, unspecified",D53,Nutritional Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D560,none,Alpha thalassemia,Alpha thalassemia,D56,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D561,otherncd,Beta thalassemia,Beta thalassemia,D56,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D562,otherncd,Delta-beta thalassemia,Delta-beta thalassemia,D56,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D569,otherncd,"Thalassemia, unspecified","Thalassemia, unspecified",D56,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D571,otherncd,Sickle-cell disease without crisis,Sickle-cell disease without crisis,D57,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D581,otherncd,Hereditary elliptocytosis,Hereditary elliptocytosis,D58,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D589,otherncd,"Hereditary hemolytic anemia, unspecified","Hereditary hemolytic anemia, unspecified",D58,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D591,otherncd,Other autoimmune hemolytic anemias,Other autoimmune hemolytic anemias,D59,Hemolytic Anemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D609,otherncd,"Acquired pure red cell aplasia, unspecified","Acquired pure red cell aplasia, unspecified",D60,Aplastic And Other Anemias And Other Bone Marrow Failure Syndromes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D610,none,Constitutional aplastic anemia,Constitutional aplastic anemia,D61,Aplastic And Other Anemias And Other Bone Marrow Failure Syndromes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D619,otherncd,"Aplastic anemia, unspecified","Aplastic anemia, unspecified",D61,Aplastic And Other Anemias And Other Bone Marrow Failure Syndromes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D643,none,Other sideroblastic anemias,Other sideroblastic anemias,D64,Aplastic And Other Anemias And Other Bone Marrow Failure Syndromes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D648,none,Other specified anemias,Other specified anemias,D64,Aplastic And Other Anemias And Other Bone Marrow Failure Syndromes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D649,none,"Anemia, unspecified","Anemia, unspecified",D64,Aplastic And Other Anemias And Other Bone Marrow Failure Syndromes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D65,neo,Disseminated intravascular coagulation,Disseminated intravascular coagulation [defibrination syndrome],D65,"Coagulation Defects, Purpura And Other Hemorrhagic Conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D66,otherncd,Hereditary factor VIII deficiency,Hereditary factor VIII deficiency,D66,"Coagulation Defects, Purpura And Other Hemorrhagic Conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D680,none,Von Willebrand's disease,Von Willebrand's disease,D68,"Coagulation Defects, Purpura And Other Hemorrhagic Conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D682,otherncd,Hereditary deficiency of other clotting factors,Hereditary deficiency of other clotting factors,D68,"Coagulation Defects, Purpura And Other Hemorrhagic Conditions",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
