predicted_causeid,code,short_desc,long_desc,major,three_digit
unintent,E139,"DIABETES SUCRES PREC. NCA, SANS COMPLIC.","Autres diabètes sucrés précisés, sans complication",Autres diabètes sucrés précisés,E13
otherncd,E140,"DIABETE SUCRE, SAI, AVEC COMA","Diabète sucré, sans précision, avec coma","Diabète sucré, sans précision",E14
neo,E141,"DIABETE SUCRE, SAI, AVEC ACIDOCETOSE","Diabète sucré, sans précision, avec acidocétose","Diabète sucré, sans précision",E14
mater_neonat,E142,"DIABETE SUCRE, SAI, AVEC COMPLIC. RENALES","Diabète sucré, sans précision, avec complications rénales","Diabète sucré, sans précision",E14
mater_neonat,E143,"DIABETE SUCRE, SAI, AVEC COMPLIC. OCULAIRES","Diabète sucré, sans précision, avec complications oculaires","Diabète sucré, sans précision",E14
mater_neonat,E144,"DIABETE SUCRE, SAI, AVEC COMPLIC. NEURO.","Diabète sucré, sans précision, avec complications neurologiques","Diabète sucré, sans précision",E14
mater_neonat,E145,"DIABETE SUCRE, SAI, AVEC COMPLIC. VASC. PERIPH.","Diabète sucré, sans précision, avec complications vasculaires périphériques","Diabète sucré, sans précision",E14
mater_neonat,E146,"DIABETE SUCRE, SAI, AVEC AUTRES COMPLIC. PREC.","Diabète sucré, sans précision, avec autres complications précisées","Diabète sucré, sans précision",E14
mater_neonat,E147,"DIABETE SUCRE, SAI, AVEC COMPLIC. MULT.","Diabète sucré, sans précision, avec complications multiples","Diabète sucré, sans précision",E14
mater_neonat,E148,"DIABETE SUCRE, SAI, AVEC COMPLIC. NON PREC.","Diabète sucré, sans précision, avec complications non précisées","Diabète sucré, sans précision",E14
unintent,E149,"DIABETE SUCRE, SAI, SANS COMPLIC.","Diabète sucré, sans précision, sans complication","Diabète sucré, sans précision",E14
neo,E230,HYPOPITUITARISME,Hypopituitarisme,Hyposécrétion et autres anomalies de l'hypophyse,E23
neo,E260,HYPERALDOSTERONISME IRE.,Hyperaldostéronisme primaire,Hyperaldostéronisme,E26
otherncd,E340,SYND. CARCINOIDE,Syndrome carcinoïde,Autres troubles endocriniens,E34
neo,E610,CARENCE EN CUIVRE,Carence en cuivre,Carences en autres éléments nutritionnels,E61
otherncd,E640,SEQ. DE MALNUTRITION PROTEINO-ENERGETIQUE,Séquelles de malnutrition protéino-énergétique,Séquelles de malnutrition et autres carences nutritionnelles,E64
cvd,E660,OBESITE DUE A UN EXCES CALORIQUE,Obésité due à un excès calorique,Obésité et surpoids,E66
neo,E740,THESAURISMOSE GLYCOGENIQUE,Thésaurismose glycogénique,Autres anomalies du métabolisme des hydrates de carbone,E74
neo,E750,GANGLIOSIDOSE GM2,Gangliosidose GM2,Anomalies du métabolisme des sphingolipides et autres anomalies du stockage des lipides,E75
neo,E770,DEFAUTS DE LA TRANSFORM. POST-TRADUCTIONNELLE DES ENZYM. LYSOSOMIAUX,Défauts de la transformation post-traductionnelle des enzymes lysosomiaux,Anomalies du métabolisme des glycoprotéines,E77
neo,E780,HYPERCHOLESTEROLEMIE ESSENTIELLE,Hypercholestérolémie essentielle,Anomalies du métabolisme des lipoprotéines et autres lipidémies,E78
neo,E790,HYPERURICEMIE SANS SIGNES D'ARTHRITE INFL. ET DE MAL. TOPHACEE,Hyperuricémie sans signes d'arthrite inflammatoire et de maladie tophacée,Anomalies du métabolisme de la purine et de la pyrimidine,E79
neo,E830,ANOM. DU METAB. DU CUIVRE,Anomalies du métabolisme du cuivre,Anomalies du métabolisme des minéraux,E83
otherncd,E840,FIBROSE KYSTIQUE AVEC MANIF. PULM.,Fibrose kystique avec manifestations pulmonaires,Fibrose kystique,E84
neo,E853,AMYLOSE GENERALISEE IIRE.,Amylose généralisée secondaire,Amylose,E85
neo,E854,AMYLOSE LIMITEE A UN OU PLUS. ORG.,Amylose limitée à un ou plusieurs organe(s),Amylose,E85
neo,E858,"AMYLOSES, NCA",Autres amyloses,Amylose,E85
neo,E859,"AMYLOSE, SAI","Amylose, sans précision",Amylose,E85
neo,E86,HYPOVOLEMIE,Hypovolémie,Hypovolémie,E86
neo,E870,HYPEROSMOLARITE ET HYPERNATREMIE,Hyperosmolarité et hypernatrémie,Autres déséquilibres hydro-électrolytiques et acido-basiques,E87
neo,E871,HYPO-OSMOLARITE ET HYPONATREMIE,Hypo-osmolarité et hyponatrémie,Autres déséquilibres hydro-électrolytiques et acido-basiques,E87
neo,E872,ACIDOSE,Acidose,Autres déséquilibres hydro-électrolytiques et acido-basiques,E87
neo,E875,HYPERKALIEMIE,Hyperkaliémie,Autres déséquilibres hydro-électrolytiques et acido-basiques,E87
neo,E876,HYPOKALIEMIE,Hypokaliémie,Autres déséquilibres hydro-électrolytiques et acido-basiques,E87
neo,E877,SURCHARGE LIQUIDIENNE,Surcharge liquidienne,Autres déséquilibres hydro-électrolytiques et acido-basiques,E87
neo,E878,"DESEQUILIBRES HYDRO-ELECTROLYTIQUES, NCA OU SAI","Autres déséquilibres hydro-électrolytiques, non classés ailleurs",Autres déséquilibres hydro-électrolytiques et acido-basiques,E87
neo,E880,"ANOM. DU METAB. DES PROTEINES PLASMATIQUES, NCA","Anomalies du métabolisme des protéines plasmatiques, non classées ailleurs",Autres anomalies métaboliques,E88
otherncd,F051,DELIRIUM SURAJOUTE A UNE DEMENCE,Delirium surajouté à une démence,"Delirium, non induit par l'alccol et d'autres substances psycho-actives",F05
otherncd,F059,"DELIRIUM, SAI","Delirium, sans précision","Delirium, non induit par l'alccol et d'autres substances psycho-actives",F05
neo,F067,TBL. COGNITIF LEGER,Trouble cognitif léger,"Autres troubles mentaux dus à une lésion cérébrale et un dysfonctionnement cérébral, et à une affection somatique",F06
neo,F069,"TBL. MENT. SAI, DU A LES. CEREB., DYSFCT. CEREB., ET AFF. PHYS.","Trouble mental sans précision, dû à une lésion cérébrale et un dysfonctionnement cérébral, et à une affection physique","Autres troubles mentaux dus à une lésion cérébrale et un dysfonctionnement cérébral, et à une affection somatique",F06
neo,F100,TBL. MENT. DUS A ALCOOL : INTOX. AIG.,Troubles mentaux et du comportement liés à l'utilisation d'alcool : intoxication aiguë,Troubles mentaux et du comportement liés à l'utilisation d'alcool,F10
neo,F140,TBL. MENT. DUS A COCAINE : INTOX. AIG.,Troubles mentaux et du comportement liés à l'utilisation de cocaïne : intoxication aiguë,Troubles mentaux et du comportement liés à l'utilisation de cocaïne,F14
neo,F150,TBL. MENT. DUS A STIMUL. NCA. : INTOX. AIG.,"Troubles mentaux et du comportement liés à l'utilisation d'autres stimulants, y compris la caféine : intoxication aiguë","Troubles mentaux et du comportement liés à l'utilisation d'autres stimulants, y compris la caféine",F15
neo,F171,TBL. MENT. DUS A TABAC : UTIL. NOCIVE,Troubles mentaux et du comportement liés à l'utilisation de tabac : utilisation nocive pour la santé,Troubles mentaux et du comportement liés à l'utilisation de tabac,F17
otherncd,F172,TBL. MENT. DUS A TABAC : SYND. DE DEPENDANCE,Troubles mentaux et du comportement liés à l'utilisation de tabac : syndrome de dépendance,Troubles mentaux et du comportement liés à l'utilisation de tabac,F17
neo,F179,"TBL. MENT. SAI, DUS A TABAC","Troubles mentaux et du comportement liés à l'utilisation de tabac, sans précision",Troubles mentaux et du comportement liés à l'utilisation de tabac,F17
neo,F200,SCHIZOPHRENIE PARANOIDE,Schizophrénie paranoïde,Schizophrénie,F20
neo,F202,SCHIZOPHRENIE CATATONIQUE,Schizophrénie catatonique,Schizophrénie,F20
neo,F204,DEPRES. POST-SCHIZOPHRENIQUE,Dépression post-schizophrénique,Schizophrénie,F20
neo,F205,SCHIZOPHENIE RESIDUELLE,Schizophénie résiduelle,Schizophrénie,F20
neo,F209,"SCHIZOPHRENIE, SAI","Schizophrénie, sans précision",Schizophrénie,F20
neo,F220,TBL. DELIRANT,Trouble délirant,Troubles délirants persistants,F22
neo,F259,"TBL. SCHIZO-AFFECTIF, SAI","Trouble schizo-affectif, sans précision",Troubles schizo-affectifs,F25
neo,F319,"TBL. AFF. BIPOL., SAI","Trouble affectif bipolaire, sans précision",Trouble affectif bipolaire,F31
neo,F320,EPISODE DEPRES. LEGER,Épisode dépressif léger,Épisodes dépressifs,F32
neo,F321,EPISODE DEPRES. MOY.,Épisode dépressif moyen,Épisodes dépressifs,F32
neo,F322,EPISODE DEPRES. SEVERE SANS SYMPT. PSYCHOT.,Épisode dépressif sévère sans symptômes psychotiques,Épisodes dépressifs,F32
neo,F323,EPISODE DEPRES. SEVERE AVEC SYMPT. PSYCHOT.,Épisode dépressif sévère avec symptômes psychotiques,Épisodes dépressifs,F32
neo,F329,"EPISODE DEPRES., SAI","Épisode dépressif, sans précision",Épisodes dépressifs,F32
neo,F333,"TBL. DEPRES. RECURRENT, SEVERE AVEC SYMPT. PSYCHOT.","Trouble dépressif récurrent, épisode actuel sévère avec symptômes psychotiques",Trouble dépressif récurrent,F33
neo,F339,"TBL. DEPRES. RECURRENT, SAI","Trouble dépressif récurrent, sans précision",Trouble dépressif récurrent,F33
neo,F340,CYCLOTHYMIE,Cyclothymie,Troubles de l'humeur [affectifs] persistants,F34
neo,F400,AGORAPHOBIE,Agoraphobie,Troubles anxieux phobiques,F40
neo,F412,TBL. ANXIEUX ET DEPRES. MIXTE,Trouble anxieux et dépressif mixte,Autres troubles anxieux,F41
neo,F419,"TBL. ANXIEUX, SAI","Trouble anxieux, sans précision",Autres troubles anxieux,F41
neo,F432,TBL. DE L'ADAPTATION,Troubles de l'adaptation,"Réaction à un facteur de stress sévère, et troubles de l'adaptation",F43
neo,F439,"REAC. A UN FACT. DE STRESS SEVERE, SAI","Réaction à un facteur de stress sévère, sans précision","Réaction à un facteur de stress sévère, et troubles de l'adaptation",F43
otherncd,F454,SYND. DOULOUREUX SOMATOFORME PERSISTANT,Syndrome douloureux somatoforme persistant,Troubles somatoformes,F45
neo,F500,ANOREXIE MENT.,Anorexie mentale,"Troubles de l'alimentation, non organique",F50
neo,F508,"TBL. DE L'ALIMENTATION NON ORG., NCA",Autres troubles de l'alimentation non organique,"Troubles de l'alimentation, non organique",F50
neo,F509,"TBL. DE L'ALIMENTATION NON ORG., SAI","Trouble de l'alimentation non organique, sans précision","Troubles de l'alimentation, non organique",F50
neo,F54,FACT. PSYCHO. ET COMPORT. ASSOCIES A DES MAL. OU DES TBL. CL. AILL.,Facteurs psychologiques et comportementaux associés à des maladies ou des troubles classés ailleurs,Facteurs psychologiques et comportementaux associés à des maladies ou des troubles classés ailleurs,F54
neo,F72,RETARD MENT. GRAVE,Retard mental grave,Retard mental grave,F72
neo,F79,"RETARD MENT., SAI","Retard mental, sans précision","Retard mental, sans précision",F79
neo,F819,"TBL. DU DEVELOP., DES ACQUISITIONS SCOLAIRES, SAI","Trouble du développement, des acquisitions scolaires, sans précision",Troubles spécifiques du développement des acquisitions scolaires,F81
neo,F840,AUTISME INFANTILE,Autisme infantile,Troubles envahissants du développement,F84
otherncd,F842,SYND. DE RETT,Syndrome de Rett,Troubles envahissants du développement,F84
neo,F89,"TBL. DU DEVELOP. PSYCHO., SAI","Trouble du développement psychologique, sans précision","Trouble du développement psychologique, sans précision",F89
neo,F99,"TBL. MENT., SANS AUTRE INDICATION","Trouble mental, sans autre indication","Trouble mental, sans autre indication",F99
neo,G009,"MENINGITE BACT., SAI","Méningite bactérienne, sans précision","Méningite bactérienne, non classée ailleurs",G00
inj_trans,G039,"MENINGITE, SAI","Méningite, sans précision",Méningite due à des causes autres et non précisées,G03
neo,G060,ABCES ET GRANULOME INTRACRAN.,Abcès et granulome intracrâniens,Abcès et granulome intracrâniens et intrarachidiens,G06
neo,G062,"ABCES EXTRA-DURAL ET SOUS-DURAL, SAI","Abcès extra-dural et sous-dural, sans précision",Abcès et granulome intracrâniens et intrarachidiens,G06
neo,G09,SEQ. D'AFF. INFL. DU S.N.C.,Séquelles d'affections inflammatoires du système nerveux central,Séquelles d'affections inflammatoires du système nerveux central,G09
neo,G120,"AMYOTROPHIE SPINALE INFANTILE, TYPE I","Amyotrophie spinale infantile, type I [Werdnig-Hoffman]",Amyotrophie spinale et syndromes apparentés,G12
otherncd,G210,SYND. MALIN DES NEUROLEP.,Syndrome malin des neuroleptiques,Syndrome parkinsonien secondaire,G21
otherncd,G211,"SYND. IIRE. PARKINSONIENS NCA, DUS A DES MEDICAM.",Autres syndromes secondaires parkinsoniens dus à des médicaments,Syndrome parkinsonien secondaire,G21
otherncd,G214,PARKINSONISME VASC.,Parkinsonisme d'origine vasculaire,Syndrome parkinsonien secondaire,G21
otherncd,G218,"SYND. PARKINSONIENS IIRE., NCA",Autres syndromes parkinsoniens secondaires,Syndrome parkinsonien secondaire,G21
otherncd,G219,"SYND. PARKINSONIEN IIRE., SAI","Syndrome parkinsonien secondaire, sans précision",Syndrome parkinsonien secondaire,G21
neo,G230,MAL. DE HALLERVORDEN-SPATZ,Maladie de Hallervorden-Spatz,Autres maladies dégénératives des noyaux gris centraux,G23
neo,G250,TREMBLEMENT ESSENTIEL,Tremblement essentiel,Autres syndromes extrapyramidaux et troubles de la motricité,G25
neo,G300,MAL. D'ALZHEIMER A DEBUT PRECOCE,Maladie d'Alzheimer à début précoce,Maladie d'Alzheimer,G30
neo,G310,ATROPHIE CEREB. CIRCONSCRITE,Atrophie cérébrale circonscrite,"Autres affections dégénératives du système nerveux, non classées ailleurs",G31
neo,G360,NEUROMYELITE OPTIQUE,Neuromyélite optique [Devic],Autres affections démyélinisantes aiguës disséminées,G36
neo,G439,"MIGRAINE, SAI","Migraine, sans précision",Migraine,G43
otherncd,G450,SYND. VERTEBRO-BASILAIRE,Syndrome vertébro-basilaire,Accidents ischémiques cérébraux transitoires et syndromes apparentés,G45
neo,G470,TBL. DE L'ENDORMISSEMENT ET DU MAINTIEN DU SOMMEIL,Troubles de l'endormissement et du maintien du sommeil [insomnies],Troubles du sommeil,G47
neo,G478,"TBL. DU SOMMEIL, NCA",Autres troubles du sommeil,Troubles du sommeil,G47
neo,G528,AFF. D'AUTRES NERFS CRANIENS PREC.,Affections d'autres nerfs crâniens précisés,Affections des autres nerfs crâniens,G52
neo,G529,"AFF. DES NERFS CRANIENS, SAI","Affection des nerfs crâniens, sans précision",Affections des autres nerfs crâniens,G52
neo,G587,MONONEVRITE DE SIEGES MULT.,Mononévrite de sièges multiples,Autres mononévrites,G58
neo,G588,"MONONEVRITES PREC., NCA",Autres mononévrites précisées,Autres mononévrites,G58
neo,G589,"MONONEVRITE, SAI","Mononévrite, sans précision",Autres mononévrites,G58
neo,G600,NEUROPATHIE HERED. MOTRICE ET SENSORIELLE,Neuropathie héréditaire motrice et sensorielle,Neuropathie héréditaire et idiopathique,G60
neo,G603,NEUROPATHIE PROGRESSIVE IDIOP.,Neuropathie progressive idiopathique,Neuropathie héréditaire et idiopathique,G60
neo,G608,"NEUROPATHIES HERED. ET IDIOP., NCA",Autres neuropathies héréditaires et idiopathiques,Neuropathie héréditaire et idiopathique,G60
neo,G609,"NEUROPATHIE HERED. ET IDIOP., SAI","Neuropathie héréditaire et idiopathique, sans précision",Neuropathie héréditaire et idiopathique,G60
otherncd,G610,SYND. DE GUILLAIN-BARRE,Syndrome de Guillain-Barré,Polynévrites inflammatoires,G61
neo,G628,"POLYNEVRITES PREC., NCA",Autres polynévrites précisées,Autres polynévrites,G62
neo,G629,"POLYNEVRITE, SAI","Polynévrite, sans précision",Autres polynévrites,G62
neo,G700,MYASTHENIE,Myasthénie,Myasthénie et autres affections neuro-musculaires,G70
neo,G710,DYSTROPHIE MUSC.,Dystrophie musculaire,Affections musculaires primitives,G71
neo,G800,PARALYSIE CEREB. SPASTIQUE QUADRIPLEGIQUE,Paralysie cérébrale spastique quadriplégique,Paralysie cérébrale,G80
neo,G803,PARALYSIE CEREB. DYSKINETIQUE,Paralysie cérébrale dyskinétique,Paralysie cérébrale,G80
neo,G808,"PARALYSIES CEREB., NCA",Autres paralysies cérébrales,Paralysie cérébrale,G80
neo,G809,"PARALYSIE CEREB., SAI","Paralysie cérébrale, sans précision",Paralysie cérébrale,G80
neo,G819,"HEMIPLEGIE, SAI","Hémiplégie, sans précision",Hémiplégie,G81
neo,G822,"PARAPLEGIE, SAI","Paraplégie, sans précision",Paraplégie et tétraplégie,G82
neo,G824,TETRAPLEGIE SPASTIQUE,Tétraplégie spastique,Paraplégie et tétraplégie,G82
neo,G825,"TETRAPLEGIE, SAI","Tétraplégie, sans précision",Paraplégie et tétraplégie,G82
otherncd,G839,"SYND. PARALYTIQUE, SAI","Syndrome paralytique, sans précision",Autres syndromes paralytiques,G83
neo,G900,NEUROPATHIE AUTONOME PERIPH. IDIOP.,Neuropathie autonome périphérique idiopathique,Affections du système nerveux autonome,G90
neo,G910,HYDROCEPHALIE COMMUNICANTE,Hydrocéphalie communicante,Hydrocéphalie,G91
otherncd,G911,HYDROCEPHALIE OBSTRU.,Hydrocéphalie obstructive (non communicante),Hydrocéphalie,G91
neo,G912,HYDROCEPHALIE A PRESSION NL.,Hydrocéphalie à pression normale,Hydrocéphalie,G91
neo,G918,"HYDROCEPHALIES, NCA",Autres hydrocéphalies,Hydrocéphalie,G91
neo,G919,"HYDROCEPHALIE, SAI","Hydrocéphalie, sans précision",Hydrocéphalie,G91
neo,G92,ENCEPHALOPATHIE TOXIQUE,Encéphalopathie toxique,Encéphalopathie toxique,G92
neo,G930,KYSTES CEREB.,Kystes cérébraux,Autres affections du cerveau,G93
neo,G931,"LES. CEREB. ANOXIQUE, NCA","Lésion cérébrale anoxique, non classée ailleurs",Autres affections du cerveau,G93
neo,G932,HYPERTENSION INTRACRAN. BENIGNE,Hypertension intracrânienne bénigne,Autres affections du cerveau,G93
neo,G934,"ENCEPHALOPATHIE, SAI","Encéphalopathie, sans précision",Autres affections du cerveau,G93
neo,G935,COMPRESSION DU CERVEAU,Compression du cerveau,Autres affections du cerveau,G93
neo,G936,OEDEME CEREB.,Oedème cérébral,Autres affections du cerveau,G93
neo,G938,"AFF. PREC. DU CERVEAU, NCA",Autres affections précisées du cerveau,Autres affections du cerveau,G93
neo,G939,"AFF. DU CERVEAU, SAI","Affection du cerveau, sans précision",Autres affections du cerveau,G93
neo,G950,SYRINGOMYELIE ET SYRINGOBULBIE,Syringomyélie et syringobulbie,Autres affections de la moelle épinière,G95
neo,G961,"AFF. DES MENINGES, NCA","Affection des méninges, non classée ailleurs",Autres affections du système nerveux central,G96
neo,G968,"AFF. PREC. DU S.N.C., NCA",Autres affections précisées du système nerveux central,Autres affections du système nerveux central,G96
neo,G98,"AFF. DU SYST. NERV., NCA","Autres affections du système nerveux, non classées ailleurs","Autres affections du système nerveux, non classées ailleurs",G98
neo,H440,ENDOPHTALMIE PURULENTE,Endophtalmie purulente,Affections du globe oculaire,H44
neo,H512,OPHTALMOPLEGIE INTERNUCLEAIRE,Ophtalmoplégie internucléaire,Autres anomalies des mouvements binoculaires,H51
neo,H534,ANOM. DU CHAMP VISUEL,Anomalies du champ visuel,Troubles de la vision,H53
neo,H540,CECITE BINOCULAIRE,Cécité binoculaire,"Déficience visuelle binoculaire ou monoculaire, incluant la cécité",H54
neo,H669,"OTITE MOY., SAI","Otite moyenne, sans précision",Otite moyenne suppurée et sans précision,H66
neo,H700,MASTOIDITE AIG.,Mastoïdite aiguë,Mastoïdite et affections apparentées,H70
digest,H729,"PERFO. DU TYMPAN, SAI","Perforation du tympan, sans précision",Perforation du tympan,H72
neo,I050,STENOSE MITRALE RHUM. OU SAI,Sténose mitrale (rhumatismale),Maladies rhumatismales de la valvule mitrale,I05
neo,I090,MYOCARDITE RHUM.,Myocardite rhumatismale,Autres cardiopathies rhumatismales,I09
neo,I10,HYPERTENSION ESSENTIELLE,Hypertension essentielle (primitive),Hypertension essentielle (primitive),I10
cvd,I110,"CARDIOPATHIE HYPERTENSIVE, AVEC INSUF. CARD.","Cardiopathie hypertensive, avec insuffisance cardiaque (congestive)",Cardiopathie hypertensive,I11
cvd,I120,"NEPHROPATHIE HYPERTENSIVE, AVEC INSUF. RENALE","Néphropathie hypertensive, avec insuffisance rénale",Néphropathie hypertensive,I12
cvd,I130,"CARDIONEPHROPATHIE HYPERTENSIVE, AVEC INSUF. CARD.","Cardionéphropathie hypertensive, avec insuffisance cardiaque (congestive)",Cardionéphropathie hypertensive,I13
neo,I200,ANGINE DE POITRINE INSTABLE,Angine de poitrine instable,Angine de poitrine,I20
neo,I210,"INFARCTUS DU MYOCARDE ANT., P.E.C. SAI","Infarctus (transmural aigu) du myocarde (de la paroi) antérieure, prise en charge non précisée",Infarctus aigu du myocarde,I21
neo,I250,"ATHEROSCLEROSE CARDIO-VASC., DECRITE AINSI","Athérosclérose cardio-vasculaire, décrite ainsi",Cardiopathie ischémique chronique,I25
unintent,I269,EMBOLIE PULM. SAI,"Embolie pulmonaire, (sans mention de coeur pulmonaire aigu)",Embolie pulmonaire,I26
neo,I270,HYPERTENSION PULM.,Hypertension pulmonaire (primitive),Autres affections cardiopulmonaires,I27
neo,I272,AUTRES HYPERTENSIONS PULM. SECOND.,Autres hypertensions pulmonaires secondaires,Autres affections cardiopulmonaires,I27
neo,I278,"AFF. CARDIOPULMONAIRES PREC., NCA",Autres affections cardiopulmonaires précisées,Autres affections cardiopulmonaires,I27
neo,I279,"AFF. CARDIOPULMONAIRE, SAI","Affection cardiopulmonaire, sans précision",Autres affections cardiopulmonaires,I27
neo,I310,PERICARDITE ADHESIVE CHRON.,Péricardite adhésive chronique,Autres maladies du péricarde,I31
neo,I312,"HEMOPERICARDE, NCA","Hémopéricarde, non classé ailleurs",Autres maladies du péricarde,I31
neo,I313,EPANCHEMENT PERICARDIQUE,Épanchement péricardique (non inflammatoire),Autres maladies du péricarde,I31
neo,I330,ENDOCARDITE INFECT.,Endocardite infectieuse (aiguë et subaiguë),Endocardite aiguë et subaiguë,I33
neo,I340,INSUF. MITRALE NON RHUM. OU SAI,Insuffisance (de la valvule) mitrale (non rhumatismale),Atteintes non rhumatismales de la valvule mitrale,I34
neo,I350,STENOSE AORT. NON RHUM. OU SAI,Sténose (de la valvule) aortique (non rhumatismale),Atteintes non rhumatismales de la valvule aortique,I35
neo,I400,MYOCARDITE INFECT.,Myocardite infectieuse,Myocardite aiguë,I40
neo,I420,MYOCARDIOPATHIE AVEC DILATATION,Myocardiopathie avec dilatation,Myocardiopathie,I42
neo,I429,"MYOCARDIOPATHIE, SAI","Myocardiopathie, sans précision",Myocardiopathie,I42
neo,I440,BLOC AURICULOVENTRICULAIRE DU 1ER DEGRE,Bloc auriculoventriculaire du premier degré,Bloc de branche gauche et auriculoventriculaire,I44
neo,I441,BLOC AURICULOVENTRICULAIRE DU 2D DEGRE,Bloc auriculoventriculaire du second degré,Bloc de branche gauche et auriculoventriculaire,I44
neo,I442,BLOC AURICULOVENTRICULAIRE COMP.,Bloc auriculoventriculaire complet,Bloc de branche gauche et auriculoventriculaire,I44
neo,I443,"BLOCS AURICULOVENTRICULAIRES, NCA OU SAI","Blocs auriculoventriculaires, autres et sans précision",Bloc de branche gauche et auriculoventriculaire,I44
neo,I447,"BLOC DE BRANCHE GAUCHE, SAI","Bloc de branche gauche, sans précision",Bloc de branche gauche et auriculoventriculaire,I44
neo,I451,"BLOCS DE BRANCHE DROIT, NCA OU SAI","Blocs de branche droit, autres et sans précision",Autres troubles de la conduction,I45
neo,I454,BLOC VENTRICULAIRE NON SPECIFIQUE,Bloc ventriculaire non spécifique,Autres troubles de la conduction,I45
otherncd,I456,SYND. DE PRE-EXCITATION,Syndrome de pré-excitation,Autres troubles de la conduction,I45
neo,I458,"TBL. PREC. DE LA CONDUCTION, NCA",Autres troubles précisés de la conduction,Autres troubles de la conduction,I45
neo,I459,"TBL. DE LA CONDUCTION, SAI","Trouble de la conduction, sans précision",Autres troubles de la conduction,I45
neo,I460,ARRET CARD. REANIME AVEC SUCCES,Arrêt cardiaque réanimé avec succès,Arrêt cardiaque,I46
neo,I461,"MORT CARD. SUBITE, DECRITE AINSI","Mort cardiaque subite, décrite ainsi",Arrêt cardiaque,I46
neo,I469,"ARRET CARD., SAI","Arrêt cardiaque, sans précision",Arrêt cardiaque,I46
neo,I470,ARYTHMIE VENTRICULAIRE DE REENTREE,Arythmie ventriculaire de réentrée,Tachycardie paroxystique,I47
cvd,I480,FIBRILLATION AURICULAIRE PAROXYSTIQUE,Fibrillation auriculaire paroxystique,Fibrillation et flutter auriculaires,I48
cvd,I490,FIBRILLATION ET FLUTTER VENTRICULAIRES,Fibrillation et flutter ventriculaires,Autres arythmies cardiaques,I49
otherncd,I495,SYND. DE DYSFCT. SINUSAL,Syndrome de dysfonctionnement sinusal,Autres arythmies cardiaques,I49
neo,I498,"ARYTHMIES CARD. PREC., NCA",Autres arythmies cardiaques précisées,Autres arythmies cardiaques,I49
neo,I499,"ARYTHMIE CARD., SAI","Arythmie cardiaque, sans précision",Autres arythmies cardiaques,I49
neo,I500,INSUF. CARD. CONGESTIVE,Insuffisance cardiaque congestive,Insuffisance cardiaque,I50
neo,I5000,"INSUFFISANCE CARDIAQUE CONGESTIVE, + FRACTION D'ÉJECTION VENTRICULAIRE GAUCHE SUPÉRIEURE / ÉGALE À 50","Insuffisance cardiaque congestive, avec fraction d'éjection ventriculaire gauche [FEVG] supérieure ou égale à 50",Insuffisance cardiaque,I50
neo,I501,INSUF. VENTRICULAIRE GAUCHE,Insuffisance ventriculaire gauche,Insuffisance cardiaque,I50
neo,I509,"INSUF. CARD., SAI","Insuffisance cardiaque, sans précision",Insuffisance cardiaque,I50
otherncd,I510,"ANOM. D'UN SEPTUM CARD., ACQUISE","Anomalie d'un septum cardiaque, acquise",Complications de cardiopathies et maladies cardiaques mal définies,I51
mater_neonat,I515,DEGEN. DU MYOCARDE,Dégénérescence du myocarde,Complications de cardiopathies et maladies cardiaques mal définies,I51
mater_neonat,I516,"MAL. CARDIO-VASC., SAI","Maladie cardio-vasculaire, sans précision",Complications de cardiopathies et maladies cardiaques mal définies,I51
mater_neonat,I517,CARDIOMEGALIE,Cardiomégalie,Complications de cardiopathies et maladies cardiaques mal définies,I51
mater_neonat,I518,"CARDIOPATHIES MAL DEFINIES, NCA",Autres cardiopathies mal définies,Complications de cardiopathies et maladies cardiaques mal définies,I51
mater_neonat,I519,"CARDIOPATHIE, SAI","Cardiopathie, sans précision",Complications de cardiopathies et maladies cardiaques mal définies,I51
neo,I600,HEMORR. /S-ARACHN. DE LA BIFURCATION ET DU SIPHON CAROTIDIEN,Hémorragie sous-arachnoïdienne de la bifurcation et du siphon carotidien,Hémorragie sous-arachnoïdienne,I60
neo,I610,"HEMORR. INTRACEREB. HEMISPHERIQUE, SOUS-CORTICALE","Hémorragie intracérébrale hémisphérique, sous-corticale",Hémorragie intracérébrale,I61
neo,I620,HÉMORRAGIE SOUSDURALE NON TRAUMATIQUE,Hémorragie sousdurale non traumatique,Autres hémorragies intracrâniennes non traumatiques,I62
neo,I630,INFARCTUS CEREB. DU A UNE THROMBOSE DES ART. PRECEREB.,Infarctus cérébral dû à une thrombose des artères précérébrales,Infarctus cérébral,I63
neo,I670,"DISSECTION D'ART. CEREB., NON ROMPUE","Dissection d'artères cérébrales, non rompue",Autres maladies cérébrovasculaires,I67
cvd,I674,ENCEPHALOPATHIE HYPERTENSIVE,Encéphalopathie hypertensive,Autres maladies cérébrovasculaires,I67
neo,I678,"MAL. CEREBROVASC. PREC., NCA",Autres maladies cérébrovasculaires précisées,Autres maladies cérébrovasculaires,I67
neo,I679,"MAL. CEREBROVASC., SAI","Maladie cérébrovasculaire, sans précision",Autres maladies cérébrovasculaires,I67
neo,I690,SEQ. D'HEMORR. /S-ARACHN.,Séquelles d'hémorragie sous-arachnoïdienne,Séquelles de maladies cérébrovasculaires,I69
